num_points,true_distance,epsilon,sample_size,Method1_avg_time,Method2_avg_time,Method1_accuracy,Method2_accuracy
100000,0.38824,0.5,4,0.00052255,0.00161711,12,98
100000,0.38824,0.45,5,0.00052426,0.00142758,21,96
100000,0.38824,0.4,5,0.00052262,0.00143773,26,100
100000,0.38824,0.35,6,0.00053782,0.00138379,53,99
100000,0.38824,0.3,7,0.00053591,0.00096701,69,100
100000,0.38824,0.25,8,0.00053992,0.00089184,80,100
100000,0.38824,0.2,10,0.00054644,0.00068765,87,100
100000,0.38824,0.15,14,0.00055859,0.00056333,97,100
100000,0.38824,0.1,20,0.00058834,0.00057597,100,100
100000,0.38824,0.05,41,0.00072564,0.00071412,100,100
100000,0.41325,0.5,4,0.00051843,0.00154678,15,98
100000,0.41325,0.45,5,0.0005449,0.00147571,32,97
100000,0.41325,0.4,5,0.00052327,0.00141276,34,96
100000,0.41325,0.35,6,0.00054467,0.00123351,48,97
100000,0.41325,0.3,7,0.00056022,0.00091094,72,100
100000,0.41325,0.25,8,0.00054944,0.00087583,70,100
100000,0.41325,0.2,10,0.00056196,0.00069254,89,100
100000,0.41325,0.15,14,0.00056833,0.00058803,97,100
100000,0.41325,0.1,20,0.00057483,0.00058675,100,100
100000,0.41325,0.05,41,0.00070856,0.00072052,100,100
100000,0.41596,0.5,4,0.00056352,0.00163923,9,96
100000,0.41596,0.45,5,0.00052296,0.00151677,36,98
100000,0.41596,0.4,5,0.0005257,0.00130643,30,96
100000,0.41596,0.35,6,0.00052753,0.00122527,42,99
100000,0.41596,0.3,7,0.00053599,0.00106718,67,99
100000,0.41596,0.25,8,0.00053972,0.00078465,79,100
100000,0.41596,0.2,10,0.0005416,0.00071304,92,100
100000,0.41596,0.15,14,0.00056268,0.00058382,96,100
100000,0.41596,0.1,20,0.0005933,0.00057175,100,100
100000,0.41596,0.05,41,0.00072276,0.00070819,100,100
100000,0.41873,0.5,4,0.00052199,0.00166757,8,93
100000,0.41873,0.45,5,0.00051965,0.00139855,23,97
100000,0.41873,0.4,5,0.00052132,0.00146892,37,99
100000,0.41873,0.35,6,0.0005291,0.00126617,50,100
100000,0.41873,0.3,7,0.00053703,0.00096492,67,100
100000,0.41873,0.25,8,0.00054523,0.00081783,75,100
100000,0.41873,0.2,10,0.00054759,0.00076448,92,100
100000,0.41873,0.15,14,0.0005571,0.00060198,95,100
100000,0.41873,0.1,20,0.00057528,0.00059108,100,100
100000,0.41873,0.05,41,0.00072898,0.00072676,100,100
100000,0.44603,0.5,4,0.00051934,0.00168966,10,97
100000,0.44603,0.45,5,0.0005203,0.00148408,36,98
100000,0.44603,0.4,5,0.00052203,0.00142587,34,99
100000,0.44603,0.35,6,0.00053535,0.00120952,51,100
100000,0.44603,0.3,7,0.00053289,0.00090308,64,99
100000,0.44603,0.25,8,0.00055069,0.00090909,79,100
100000,0.44603,0.2,10,0.00060527,0.00075533,89,100
100000,0.44603,0.15,14,0.00056288,0.0005899,100,100
100000,0.44603,0.1,20,0.00057667,0.00058962,100,100
100000,0.44603,0.05,41,0.00070975,0.00071968,100,100
100000,0.44959,0.5,4,0.00051648,0.0015462,19,95
100000,0.44959,0.45,5,0.00052786,0.00152064,31,94
100000,0.44959,0.4,5,0.00052972,0.00137349,27,98
100000,0.44959,0.35,6,0.00053087,0.00134198,46,99
100000,0.44959,0.3,7,0.00055267,0.00097832,72,100
100000,0.44959,0.25,8,0.00053908,0.00082454,80,100
100000,0.44959,0.2,10,0.00054946,0.00066549,93,100
100000,0.44959,0.15,14,0.00056535,0.00055578,99,100
100000,0.44959,0.1,20,0.00057407,0.0005893,100,100
100000,0.44959,0.05,41,0.00071686,0.00075388,100,100
100000,0.4594,0.5,4,0.00051584,0.00162074,8,93
100000,0.4594,0.45,5,0.00052418,0.00141112,24,100
100000,0.4594,0.4,5,0.00052095,0.00135399,35,98
100000,0.4594,0.35,6,0.00053127,0.00121205,50,98
100000,0.4594,0.3,7,0.00053931,0.00097779,63,100
100000,0.4594,0.25,8,0.00053844,0.00081333,70,100
100000,0.4594,0.2,10,0.00054692,0.00072329,89,100
100000,0.4594,0.15,14,0.00055923,0.00059757,99,100
100000,0.4594,0.1,20,0.00059996,0.00061091,100,100
100000,0.4594,0.05,41,0.00073747,0.0007153,100,100
100000,0.46105,0.5,4,0.00052024,0.00164557,9,99
100000,0.46105,0.45,5,0.00052197,0.00140804,33,98
100000,0.46105,0.4,5,0.00052059,0.00147036,36,100
100000,0.46105,0.35,6,0.0005354,0.00123885,53,99
100000,0.46105,0.3,7,0.00055506,0.000904869999999999,60,99
100000,0.46105,0.25,8,0.00053762,0.0008771,72,100
100000,0.46105,0.2,10,0.00054366,0.00066747,91,100
100000,0.46105,0.15,14,0.00056415,0.00057131,100,100
100000,0.46105,0.1,20,0.00058812,0.00057001,100,100
100000,0.46105,0.05,41,0.00072033,0.00073018,100,100
100000,0.4835,0.5,4,0.00052078,0.00169604,14,94
100000,0.4835,0.45,5,0.0005196,0.00142629,32,100
100000,0.4835,0.4,5,0.00051928,0.00155623,25,97
100000,0.4835,0.35,6,0.00053079,0.0012906,51,100
100000,0.4835,0.3,7,0.00053433,0.00105148,70,100
100000,0.4835,0.25,8,0.00053689,0.00083708,75,100
100000,0.4835,0.2,10,0.00054416,0.00073832,90,100
100000,0.4835,0.15,14,0.00055472,0.00059647,97,100
100000,0.4835,0.1,20,0.00059208,0.00060882,100,100
100000,0.4835,0.05,41,0.0007306,0.0007103,100,100
100000,0.4863,0.5,4,0.00051997,0.00159733,11,99
100000,0.4863,0.45,5,0.00051774,0.00135803,30,99
100000,0.4863,0.4,5,0.00052063,0.00133806,29,100
100000,0.4863,0.35,6,0.00053395,0.00127169,45,100
100000,0.4863,0.3,7,0.00055255,0.00098917,71,100
100000,0.4863,0.25,8,0.00054245,0.00085491,82,100
100000,0.4863,0.2,10,0.00055126,0.00065133,96,100
100000,0.4863,0.15,14,0.00054773,0.00060388,98,100
100000,0.4863,0.1,20,0.00057633,0.00057526,100,100
100000,0.4863,0.05,41,0.00071598,0.00070569,100,100
100000,0.48971,0.5,4,0.00051894,0.00162372,15,97
100000,0.48971,0.45,5,0.00051828,0.00136155,37,97
100000,0.48971,0.4,5,0.00052138,0.0013483,32,100
100000,0.48971,0.35,6,0.00053076,0.00123173,51,99
100000,0.48971,0.3,7,0.0005445,0.00103747,68,99
100000,0.48971,0.25,8,0.0005373,0.00088985,77,100
100000,0.48971,0.2,10,0.00055068,0.00066865,92,100
100000,0.48971,0.15,14,0.0005542,0.00057628,99,100
100000,0.48971,0.1,20,0.00057045,0.00057895,100,100
100000,0.48971,0.05,41,0.00070476,0.00069898,100,100
10000,0.0023,0.5,4,0.00050736,0.00070625,0,19
10000,0.0023,0.45,5,0.00050195,0.00072628,0,10
10000,0.0023,0.4,5,0.00050253,0.00070755,0,14
10000,0.0023,0.35,6,0.00050781,0.00071097,0,11
10000,0.0023,0.3,7,0.00053264,0.00071903,0,7
10000,0.0023,0.25,8,0.00050847,0.00071422,0,11
10000,0.0023,0.2,10,0.00050604,0.00072759,1,1
10000,0.0023,0.15,14,0.00050787,0.00073533,2,4
10000,0.0023,0.1,20,0.00051258,0.00073012,2,8
10000,0.0023,0.05,41,0.00054459,0.00074117,10,17
10000,0.0096,0.5,4,0.00051398,0.00070582,1,76
10000,0.0096,0.45,5,0.0005069,0.00070813,1,80
10000,0.0096,0.4,5,0.00051307,0.00070992,0,78
10000,0.0096,0.35,6,0.00051415,0.00071118,0,87
10000,0.0096,0.3,7,0.00051632,0.00073339,1,86
10000,0.0096,0.25,8,0.00052817,0.00071502,4,86
10000,0.0096,0.2,10,0.00054197,0.00072667,5,90
10000,0.0096,0.15,14,0.0005642,0.00073915,11,89
10000,0.0096,0.1,20,0.00059583,0.00078478,13,92
