dimension,num_points,delta,epsilon,accuracy_pct,LS_time_sec,avg_sample_time_sec,coefficient
20,5000,0.95,0.15,84,0.435498,0.00715106,60.8997826895593
20,5000,0.95,0.1,99,0.435498,0.0213912,20.3587456524178
20,5000,0.95,0.05,100,0.435498,0.73807012,0.590049628346965
20,5000,1,0.5,0,2.911031,0.00093947,3098.58856589353
20,5000,1,0.45,0,2.911031,0.00100891,2885.32277408292
20,5000,1,0.4,0,2.911031,0.00116184,2505.53518556772
20,5000,1,0.35,0,2.911031,0.00133407,2182.06765761916
20,5000,1,0.3,0,2.911031,0.00159124,1829.41039692315
20,5000,1,0.25,0,2.911031,0.00209277,1390.99423252436
20,5000,1,0.2,0,2.911031,0.00312231,932.332471791718
20,5000,1,0.15,0,2.911031,0.00517345,562.686601784109
20,5000,1,0.1,0,2.911031,0.01357792,214.39447279112
20,5000,1,0.05,0,2.911031,0.10680949,27.2544228045654
20,10000,0.6,0.5,37,3.612793,0.00105071,3438.43020433802
20,10000,0.6,0.45,64,3.612793,0.00124832,2894.12410279415
20,10000,0.6,0.4,84,3.612793,0.00135792,2660.5344939319
20,10000,0.6,0.35,99,3.612793,0.00153879,2347.81419167008
20,10000,0.6,0.3,99,3.612793,0.00183863,1964.93748062416
20,10000,0.6,0.25,100,3.612793,0.00230636,1566.44799597634
20,10000,0.6,0.2,100,3.612793,0.00357397,1010.8627100955
20,10000,0.6,0.15,100,3.612793,0.006581,548.973256344021
20,10000,0.6,0.1,100,3.612793,0.02394033,150.908237271583
20,10000,0.6,0.05,100,3.612793,1.26341935,2.85953590943498
20,10000,0.7,0.5,25,3.851173,0.00114465,3364.49831826322
20,10000,0.7,0.45,56,3.851173,0.00121075,3180.81602312616
20,10000,0.7,0.4,74,3.851173,0.00130835,2943.53422249398
20,10000,0.7,0.35,89,3.851173,0.00157895,2439.07216821305
20,10000,0.7,0.3,100,3.851173,0.00183252,2101.57215200925
20,10000,0.7,0.25,100,3.851173,0.00248489,1549.83641126971
20,10000,0.7,0.2,100,3.851173,0.00356055,1081.6230638525
20,10000,0.7,0.15,100,3.851173,0.00690231,557.954221123073
20,10000,0.7,0.1,100,3.851173,0.02338633,164.676244626669
20,10000,0.7,0.05,100,3.851173,1.14504635,3.36333372007168
20,10000,0.8,0.5,9,3.871686,0.00105317,3676.2213127985
20,10000,0.8,0.45,31,3.871686,0.00131361,2947.36337269053
20,10000,0.8,0.4,35,3.871686,0.00139651,2772.40120013462
20,10000,0.8,0.35,83,3.871686,0.00160007,2419.69788821739
20,10000,0.8,0.3,93,3.871686,0.00185997,2081.58518685785
20,10000,0.8,0.25,100,3.871686,0.00235488,1644.11180187525
20,10000,0.8,0.2,100,3.871686,0.00366642,1055.98540265436
20,10000,0.8,0.15,100,3.871686,0.00660664,586.029509705387
20,10000,0.8,0.1,100,3.871686,0.02282252,169.643229582009
20,10000,0.8,0.05,100,3.871686,1.14127011,3.39243616920801
20,10000,0.9,0.5,0,4.145577,0.00100909,4108.23316057041
20,10000,0.9,0.45,10,4.145577,0.00111785,3708.52708324015
20,10000,0.9,0.4,17,4.145577,0.00127754,3244.96845499945
20,10000,0.9,0.35,32,4.145577,0.00153758,2696.16995538444
20,10000,0.9,0.3,56,4.145577,0.00194263,2134.00235762858
20,10000,0.9,0.25,80,4.145577,0.00256529,1616.02664805928
20,10000,0.9,0.2,95,4.145577,0.00367281,1128.72078871491
20,10000,0.9,0.15,100,4.145577,0.00659122,628.954427253225
20,10000,0.9,0.1,100,4.145577,0.01997676,207.519988226319
20,10000,0.9,0.05,100,4.145577,0.64394679,6.43776328165251
20,10000,0.95,0.5,0,4.159098,0.00098672,4215.07418517918
20,10000,0.95,0.45,0,4.159098,0.00110259,3772.11656191331
20,10000,0.95,0.4,4,4.159098,0.0012349,3367.96339784598
20,10000,0.95,0.35,15,4.159098,0.00148415,2802.3434288987
20,10000,0.95,0.3,21,4.159098,0.00180712,2301.50626411085
20,10000,0.95,0.25,39,4.159098,0.00244089,1703.92684635522
20,10000,0.95,0.2,67,4.159098,0.00389744,1067.1358635412
20,10000,0.95,0.15,93,4.159098,0.00707455,587.895767221944
20,10000,0.95,0.1,100,4.159098,0.02247145,185.083650587746
20,10000,0.95,0.05,100,4.159098,0.65589657,6.34108819931776
20,10000,1,0.5,0,24.066716,0.00095109,25304.3518489312
20,10000,1,0.45,0,24.066716,0.00102941,23379.1356213754
20,10000,1,0.4,0,24.066716,0.00123657,19462.4776599788
20,10000,1,0.35,0,24.066716,0.00145664,16522.0754613357
20,10000,1,0.3,0,24.066716,0.0017367,13857.7278747049
20,10000,1,0.25,0,24.066716,0.00207189,11615.8270950678
20,10000,1,0.2,0,24.066716,0.00292607,8224.92831682086
20,10000,1,0.15,0,24.066716,0.00525865,4576.59589438354
20,10000,1,0.1,0,24.066716,0.01380789,1742.96840429638
20,10000,1,0.05,0,24.066716,0.10505764,229.081064451857
20,20000,0.6,0.5,32,13.671436,0.00107588,12707.2127003011
20,20000,0.6,0.45,67,13.671436,0.00121458,11256.1016977062
20,20000,0.6,0.4,83,13.671436,0.00135628,10080.0985047335
20,20000,0.6,0.35,98,13.671436,0.00158774,8610.62642498142
20,20000,0.6,0.3,100,13.671436,0.00183443,7452.68884612659
20,20000,0.6,0.25,100,13.671436,0.00239416,5710.32679520165
20,20000,0.6,0.2,100,13.671436,0.0035608,3839.42821837789
20,20000,0.6,0.15,100,13.671436,0.00684799,1996.41588261665
20,20000,0.6,0.1,100,13.671436,0.03105653,440.211317877432
20,20000,0.6,0.05,100,13.671436,1.17848245,11.6008821344773
20,20000,0.7,0.5,15,13.652338,0.00106222,12852.6463444484
20,20000,0.7,0.45,48,13.652338,0.00119173,11455.8985676286
20,20000,0.7,0.4,78,13.652338,0.00133345,10238.3576437062
20,20000,0.7,0.35,93,13.652338,0.00154573,8832.29153862576
