dimension,num_points,delta,epsilon,accuracy_pct,LS_time_sec,avg_sample_time_sec,coefficient
100,30000,0.6,0.3,100,155.827173,0.157848,987.197639501293
100,30000,0.6,0.25,100,155.827173,0.46822462,332.80431302395
100,30000,0.6,0.2,100,155.827173,2.59692608,60.0044699770584
100,30000,0.6,0.15,100,155.827173,0.15320992,1017.08279072269
100,30000,0.6,0.1,100,155.827173,0.22146865,703.60826690369
100,30000,0.6,0.05,100,155.827173,0.75077348,207.555510618196
100,30000,0.7,0.5,15,151.207486,0.03387915,4463.14284744452
100,30000,0.7,0.45,64,151.207486,0.05167279,2926.24969543932
100,30000,0.7,0.4,98,151.207486,0.0695279,2174.77424170729
100,30000,0.7,0.35,100,151.207486,0.08943057,1690.78074756764
100,30000,0.7,0.3,100,151.207486,0.17725893,853.03169775424
100,30000,0.7,0.25,100,151.207486,0.49309037,306.652685186287
100,30000,0.7,0.2,100,151.207486,2.98087559,50.7258627321645
100,30000,0.7,0.15,100,151.207486,0.16865607,896.543397459694
100,30000,0.7,0.1,100,151.207486,0.22387111,675.422058701545
100,30000,0.7,0.05,100,151.207486,0.76250801,198.302816517298
100,30000,0.8,0.5,1,154.83121,0.02609869,5932.52803110041
100,30000,0.8,0.45,14,154.83121,0.04148202,3732.48964250053
100,30000,0.8,0.4,63,154.83121,0.06851082,2259.95266149201
100,30000,0.8,0.35,100,154.83121,0.10685312,1449.00972475113
100,30000,0.8,0.3,100,154.83121,0.17992477,860.533043893845
100,30000,0.8,0.25,100,154.83121,0.3531258,438.45907039361
100,30000,0.8,0.2,100,154.83121,2.16121629,71.6407750193295
100,30000,0.8,0.15,100,154.83121,0.1471904,1051.91106213449
100,30000,0.8,0.1,100,154.83121,0.21982907,704.325456137353
100,30000,0.8,0.05,100,154.83121,0.77274862,200.364265936832
100,30000,0.9,0.5,0,163.218227,0.02229198,7321.83623886259
100,30000,0.9,0.45,0,163.218227,0.03066195,5323.15221308495
100,30000,0.9,0.4,6,163.218227,0.04662624,3500.56592596787
100,30000,0.9,0.35,25,163.218227,0.08236722,1981.59203382122
100,30000,0.9,0.3,74,163.218227,0.21223863,769.031664970698
100,30000,0.9,0.25,100,163.218227,0.57012566,286.284653456924
100,30000,0.9,0.2,100,163.218227,2.3175367,70.4274616233693
100,30000,0.9,0.15,100,163.218227,0.15683505,1040.69993920364
100,30000,0.9,0.1,100,163.218227,0.23158097,704.799824441533
100,30000,0.9,0.05,100,163.218227,0.825176070000001,197.798061448873
100,30000,1,0.5,100,1074.322906,0.01935153,55516.1739666063
100,30000,1,0.45,100,1074.322906,0.02522105,42596.2799328339
100,30000,1,0.4,100,1074.322906,0.03756581,28598.4225017376
100,30000,1,0.35,100,1074.322906,0.04887394,21981.5080593052
100,30000,1,0.3,100,1074.322906,0.06851559,15679.9774474685
100,30000,1,0.25,100,1074.322906,0.10488111,10243.2450037953
100,30000,1,0.2,100,1074.322906,0.18835517,5703.70808510327
100,30000,1,0.15,100,1074.322906,0.08792885,12218.0934471451
100,30000,1,0.1,100,1074.322906,0.13663822,7862.53587027115
100,30000,1,0.05,100,1074.322906,0.58035103,1851.16050539274
200,30000,0.6,0.5,39,514.972753,0.31470045,1636.3902657273
200,30000,0.6,0.45,97,514.972753,0.4459399,1154.80304184488
200,30000,0.6,0.4,100,514.972753,0.7644607,673.641892905678
200,30000,0.6,0.35,100,514.972753,0.32856701,1567.3294558696
200,30000,0.6,0.3,100,514.972753,0.38007497,1354.9241429921
200,30000,0.6,0.25,100,514.972753,0.43609406,1180.87541251995
200,30000,0.6,0.2,100,514.972753,0.55154788,933.686397271621
200,30000,0.6,0.15,100,514.972753,0.71886625,716.367965529054
200,30000,0.6,0.1,100,514.972753,1.01634733,506.689728795765
200,30000,0.6,0.05,100,514.972753,4.23340454,121.64506088048
200,30000,0.7,0.5,4,576.28639,0.24273577,2374.13047940977
200,30000,0.7,0.45,71,576.28639,0.50210268,1147.7460944841
200,30000,0.7,0.4,100,576.28639,0.78831718,731.033655767847
200,30000,0.7,0.35,100,576.28639,0.33507533,1719.87114061784
200,30000,0.7,0.3,100,576.28639,0.37844538,1522.77295603397
200,30000,0.7,0.25,100,576.28639,0.44886066,1283.88705305562
200,30000,0.7,0.2,100,576.28639,0.54361437,1060.10146494104
200,30000,0.7,0.15,100,576.28639,0.69948338,823.874314211726
200,30000,0.7,0.1,100,576.28639,1.02076474,564.563378237379
200,30000,0.7,0.05,100,576.28639,4.26327557,135.174557810721
