filename,sep_degree,epsilon,sample_size,correct_guesses
1000_0.164000_2754.csv,0.164,0.46,7,9
1000_0.167000_5461.csv,0.167,0.01,300,100
1000_0.167000_5461.csv,0.167,0.06,50,100
1000_0.167000_5461.csv,0.167,0.11,28,92
1000_0.167000_5461.csv,0.167,0.16,19,80
1000_0.167000_5461.csv,0.167,0.21,15,55
1000_0.167000_5461.csv,0.167,0.26,12,33
1000_0.167000_5461.csv,0.167,0.31,10,20
1000_0.167000_5461.csv,0.167,0.36,9,17
1000_0.167000_5461.csv,0.167,0.41,8,21
1000_0.167000_5461.csv,0.167,0.46,7,5
1000_0.183000_1370.csv,0.183,0.01,300,100
1000_0.183000_1370.csv,0.183,0.06,50,100
1000_0.183000_1370.csv,0.183,0.11,28,95
1000_0.183000_1370.csv,0.183,0.16,19,80
1000_0.183000_1370.csv,0.183,0.21,15,57
1000_0.183000_1370.csv,0.183,0.26,12,48
1000_0.183000_1370.csv,0.183,0.31,10,34
1000_0.183000_1370.csv,0.183,0.36,9,21
1000_0.183000_1370.csv,0.183,0.41,8,19
1000_0.183000_1370.csv,0.183,0.46,7,5
1000_0.200000_8248.csv,0.2,0.01,300,100
1000_0.200000_8248.csv,0.2,0.06,50,99
1000_0.200000_8248.csv,0.2,0.11,28,98
1000_0.200000_8248.csv,0.2,0.16,19,88
1000_0.200000_8248.csv,0.2,0.21,15,72
1000_0.200000_8248.csv,0.2,0.26,12,50
1000_0.200000_8248.csv,0.2,0.31,10,35
1000_0.200000_8248.csv,0.2,0.36,9,27
1000_0.200000_8248.csv,0.2,0.41,8,17
1000_0.200000_8248.csv,0.2,0.46,7,13
1000_0.242000_7431.csv,0.242,0.01,300,100
1000_0.242000_7431.csv,0.242,0.06,50,100
1000_0.242000_7431.csv,0.242,0.11,28,98
1000_0.242000_7431.csv,0.242,0.16,19,92
1000_0.242000_7431.csv,0.242,0.21,15,67
1000_0.242000_7431.csv,0.242,0.26,12,67
1000_0.242000_7431.csv,0.242,0.31,10,55
1000_0.242000_7431.csv,0.242,0.36,9,37
1000_0.242000_7431.csv,0.242,0.41,8,33
1000_0.242000_7431.csv,0.242,0.46,7,12
1000_0.246000_8076.csv,0.246,0.01,300,100
1000_0.246000_8076.csv,0.246,0.06,50,100
1000_0.246000_8076.csv,0.246,0.11,28,100
1000_0.246000_8076.csv,0.246,0.16,19,88
1000_0.246000_8076.csv,0.246,0.21,15,80
1000_0.246000_8076.csv,0.246,0.26,12,65
1000_0.246000_8076.csv,0.246,0.31,10,42
1000_0.246000_8076.csv,0.246,0.36,9,39
1000_0.246000_8076.csv,0.246,0.41,8,30
1000_0.246000_8076.csv,0.246,0.46,7,19
1000_0.264000_9190.csv,0.264,0.01,300,100
1000_0.264000_9190.csv,0.264,0.06,50,100
1000_0.264000_9190.csv,0.264,0.11,28,97
1000_0.264000_9190.csv,0.264,0.16,19,91
1000_0.264000_9190.csv,0.264,0.21,15,84
1000_0.264000_9190.csv,0.264,0.26,12,58
1000_0.264000_9190.csv,0.264,0.31,10,50
1000_0.264000_9190.csv,0.264,0.36,9,41
1000_0.264000_9190.csv,0.264,0.41,8,30
1000_0.264000_9190.csv,0.264,0.46,7,21
1000_0.289000_8327.csv,0.289,0.01,300,100
1000_0.289000_8327.csv,0.289,0.06,50,100
1000_0.289000_8327.csv,0.289,0.11,28,99
1000_0.289000_8327.csv,0.289,0.16,19,99
1000_0.289000_8327.csv,0.289,0.21,15,90
1000_0.289000_8327.csv,0.289,0.26,12,76
1000_0.289000_8327.csv,0.289,0.31,10,49
1000_0.289000_8327.csv,0.289,0.36,9,47
1000_0.289000_8327.csv,0.289,0.41,8,30
1000_0.289000_8327.csv,0.289,0.46,7,23
1000_0.304000_4923.csv,0.304,0.01,300,100
1000_0.304000_4923.csv,0.304,0.06,50,100
1000_0.304000_4923.csv,0.304,0.11,28,100
1000_0.304000_4923.csv,0.304,0.16,19,97
1000_0.304000_4923.csv,0.304,0.21,15,90
1000_0.304000_4923.csv,0.304,0.26,12,75
1000_0.304000_4923.csv,0.304,0.31,10,51
1000_0.304000_4923.csv,0.304,0.36,9,53
1000_0.304000_4923.csv,0.304,0.41,8,34
1000_0.304000_4923.csv,0.304,0.46,7,26
1000_0.304000_6503.csv,0.304,0.01,300,100
1000_0.304000_6503.csv,0.304,0.06,50,100
1000_0.304000_6503.csv,0.304,0.11,28,100
1000_0.304000_6503.csv,0.304,0.16,19,99
1000_0.304000_6503.csv,0.304,0.21,15,84
1000_0.304000_6503.csv,0.304,0.26,12,78
1000_0.304000_6503.csv,0.304,0.31,10,67
1000_0.304000_6503.csv,0.304,0.36,9,54
1000_0.304000_6503.csv,0.304,0.41,8,47
1000_0.304000_6503.csv,0.304,0.46,7,30
1000_0.306000_3370.csv,0.306,0.01,300,100
1000_0.306000_3370.csv,0.306,0.06,50,100
1000_0.306000_3370.csv,0.306,0.11,28,100
1000_0.306000_3370.csv,0.306,0.16,19,96
1000_0.306000_3370.csv,0.306,0.21,15,91
1000_0.306000_3370.csv,0.306,0.26,12,79
1000_0.306000_3370.csv,0.306,0.31,10,61
1000_0.306000_3370.csv,0.306,0.36,9,49
